"Date","Price","Open","High","Low","Change %"
"04/30/2025","3.165","3.213","3.215","3.162","-1.62%"
"04/29/2025","3.217","3.214","3.235","3.207","-0.39%"
"04/28/2025","3.230","3.210","3.243","3.201","1.25%"
"04/25/2025","3.190","3.179","3.198","3.169","0.89%"
"04/24/2025","3.161","3.237","3.238","3.159","-2.26%"
"04/23/2025","3.234","3.230","3.252","3.211","0.76%"
"04/22/2025","3.210","3.251","3.253","3.207","-0.97%"
"04/17/2025","3.241","3.284","3.309","3.224","-0.80%"
"04/16/2025","3.267","3.263","3.282","3.249","-0.82%"
"04/15/2025","3.295","3.257","3.308","3.250","0.55%"
"04/14/2025","3.276","3.328","3.339","3.269","-1.99%"
"04/11/2025","3.343","3.365","3.408","3.309","-0.33%"
"04/10/2025","3.354","3.420","3.450","3.334","-1.06%"
"04/09/2025","3.390","3.473","3.476","3.364","-0.04%"
"04/08/2025","3.391","3.395","3.422","3.330","-0.22%"
"04/07/2025","3.399","3.318","3.407","3.247","2.24%"
"04/04/2025","3.325","3.350","3.350","3.265","-1.35%"
"04/03/2025","3.370","3.373","3.394","3.355","-1.52%"
"04/02/2025","3.422","3.409","3.436","3.374","0.75%"
"04/01/2025","3.397","3.428","3.431","3.371","-1.41%"
"03/31/2025","3.445","3.385","3.453","3.380","0.25%"
"03/28/2025","3.437","3.435","3.454","3.411","-0.84%"
"03/27/2025","3.466","3.466","3.487","3.446","-0.57%"
"03/26/2025","3.486","3.476","3.499","3.465","0.22%"
"03/25/2025","3.478","3.474","3.513","3.471","0.52%"
"03/24/2025","3.460","3.477","3.485","3.454","-0.07%"
"03/21/2025","3.463","3.478","3.482","3.449","-0.55%"
"03/20/2025","3.481","3.446","3.483","3.442","0.33%"
"03/19/2025","3.470","3.463","3.486","3.437","-0.56%"
"03/18/2025","3.490","3.494","3.526","3.491","0.17%"
"03/17/2025","3.484","3.553","3.565","3.475","-2.33%"
"03/14/2025","3.566","3.568","3.615","3.548","0.39%"
"03/13/2025","3.553","3.567","3.595","3.547","-0.18%"
"03/12/2025","3.559","3.579","3.605","3.544","-0.85%"
"03/11/2025","3.589","3.557","3.598","3.545","1.37%"
"03/10/2025","3.541","3.565","3.568","3.510","-0.28%"
"03/07/2025","3.551","3.549","3.559","3.497","-0.42%"
"03/06/2025","3.566","3.583","3.631","3.544","2.31%"
"03/05/2025","3.486","3.363","3.512","3.338","7.94%"
"03/04/2025","3.229","3.177","3.238","3.161","0.39%"
"03/03/2025","3.217","3.163","3.244","3.150","2.44%"
"02/28/2025","3.140","3.120","3.146","3.105","-0.03%"
"02/27/2025","3.141","3.144","3.175","3.140","-0.41%"
"02/26/2025","3.154","3.201","3.201","3.147","-1.25%"
"02/25/2025","3.194","3.227","3.232","3.184","-0.84%"
"02/24/2025","3.221","3.237","3.246","3.207","0.03%"
"02/21/2025","3.220","3.264","3.266","3.216","-1.53%"
"02/20/2025","3.270","3.277","3.290","3.265","1.02%"
"02/19/2025","3.237","3.185","3.240","3.178","2.47%"
"02/18/2025","3.159","3.187","3.190","3.156","-0.19%"
"02/17/2025","3.165","3.175","3.193","3.157","1.38%"
"02/14/2025","3.122","3.107","3.137","3.101","0.32%"
"02/13/2025","3.112","3.183","3.189","3.102","-2.63%"
"02/12/2025","3.196","3.161","3.207","3.156","1.20%"
"02/11/2025","3.158","3.108","3.171","3.105","2.33%"
"02/10/2025","3.086","3.089","3.102","3.073","-0.06%"
"02/07/2025","3.088","3.086","3.123","3.073","-0.03%"
"02/06/2025","3.089","3.095","3.123","3.071","0.59%"
"02/05/2025","3.071","3.092","3.101","3.055","-1.41%"
"02/04/2025","3.115","3.145","3.146","3.109","0.10%"
"02/03/2025","3.112","3.194","3.201","3.090","-2.81%"
"01/31/2025","3.202","3.284","3.285","3.189","-1.78%"
"01/30/2025","3.260","3.295","3.296","3.249","-1.78%"
"01/29/2025","3.319","3.258","3.321","3.257","0.91%"
"01/28/2025","3.289","3.285","3.291","3.271","0.43%"
"01/27/2025","3.275","3.272","3.289","3.240","-0.97%"
"01/24/2025","3.307","3.278","3.328","3.275","0.43%"
"01/23/2025","3.293","3.257","3.317","3.255","0.92%"
"01/22/2025","3.263","3.278","3.279","3.234","-0.24%"
"01/21/2025","3.271","3.286","3.308","3.262","-0.70%"
"01/20/2025","3.294","3.299","3.332","3.292","-0.42%"
"01/17/2025","3.308","3.330","3.331","3.282","-0.63%"
"01/16/2025","3.329","3.358","3.391","3.329","-0.57%"
"01/15/2025","3.348","3.452","3.460","3.329","-3.60%"
"01/14/2025","3.473","3.447","3.475","3.418","0.58%"
"01/13/2025","3.453","3.456","3.489","3.445","0.85%"
"01/10/2025","3.424","3.402","3.443","3.399","1.06%"
"01/09/2025","3.388","3.366","3.412","3.366","1.16%"
"01/08/2025","3.349","3.292","3.363","3.291","1.61%"
"01/07/2025","3.296","3.284","3.309","3.260","1.04%"
"01/06/2025","3.262","3.293","3.301","3.260","-0.79%"
"01/03/2025","3.288","3.219","3.294","3.202","2.14%"
"01/02/2025","3.219","3.201","3.219","3.159","0.75%"
