"Date","Price","Open","High","Low","Change %"
"04/30/2025","3.310","3.372","3.372","3.323","-0.60%"
"04/29/2025","3.330","3.356","3.394","3.354","0.00%"
"04/28/2025","3.330","3.319","3.393","3.319","0.60%"
"04/25/2025","3.310","3.300","3.353","3.300","0.61%"
"04/24/2025","3.290","3.382","3.391","3.324","-2.08%"
"04/23/2025","3.360","3.357","3.392","3.349","0.30%"
"04/22/2025","3.350","3.394","3.405","3.369","-0.59%"
"04/17/2025","3.370","3.448","3.480","3.385","-1.46%"
"04/16/2025","3.420","3.434","3.467","3.428","-0.29%"
"04/15/2025","3.430","3.415","3.476","3.378","0.59%"
"04/14/2025","3.410","3.483","3.505","3.439","-2.29%"
"04/11/2025","3.490","3.532","3.598","3.444","0.29%"
"04/10/2025","3.480","3.568","3.596","3.512","-1.97%"
"04/09/2025","3.550","3.560","3.678","3.560","0.28%"
"04/08/2025","3.540","3.563","3.582","3.487","1.43%"
"04/07/2025","3.490","3.473","3.522","3.430","1.75%"
"04/04/2025","3.430","3.486","3.513","3.433","-0.87%"
"04/03/2025","3.460","3.547","3.547","3.488","-0.57%"
"04/02/2025","3.480","3.537","3.542","3.516","0.00%"
"04/01/2025","3.480","3.611","3.611","3.507","-1.42%"
"03/31/2025","3.530","3.576","3.586","3.547","-0.84%"
"03/28/2025","3.560","3.637","3.638","3.576","-1.11%"
"03/27/2025","3.600","3.627","3.647","3.580","0.00%"
"03/26/2025","3.600","3.648","3.654","3.621","-0.28%"
"03/25/2025","3.610","3.627","3.672","3.616","0.56%"
"03/24/2025","3.590","3.632","3.644","3.614","0.28%"
"03/21/2025","3.580","3.615","3.636","3.611","0.28%"
"03/20/2025","3.570","3.642","3.642","3.594","-0.56%"
"03/19/2025","3.590","3.654","3.654","3.607","-1.37%"
"03/18/2025","3.640","3.654","3.682","3.648","1.11%"
"03/17/2025","3.600","3.744","3.744","3.641","-2.70%"
"03/14/2025","3.700","3.726","3.783","3.720","0.00%"
"03/13/2025","3.700","3.745","3.785","3.735","0.27%"
"03/12/2025","3.690","3.722","3.762","3.718","0.54%"
"03/11/2025","3.670","3.708","3.731","3.693","1.10%"
"03/10/2025","3.630","3.694","3.705","3.653","0.00%"
"03/07/2025","3.630","3.677","3.728","3.639","-1.89%"
"03/06/2025","3.700","3.611","3.757","3.611","3.64%"
"03/05/2025","3.570","3.350","3.618","3.350","7.85%"
"03/04/2025","3.310","3.313","3.365","3.299","-0.30%"
"03/03/2025","3.320","3.289","3.367","3.287","2.47%"
"02/28/2025","3.240","3.302","3.302","3.264","-0.61%"
"02/27/2025","3.260","3.300","3.323","3.286","-1.42%"
"02/26/2025","3.307","3.332","3.347","3.288","-0.60%"
"02/25/2025","3.327","3.367","3.367","3.319","-0.75%"
"02/24/2025","3.352","3.361","3.385","3.343","-0.12%"
"02/21/2025","3.356","3.429","3.442","3.356","-1.79%"
"02/20/2025","3.417","3.422","3.438","3.416","-0.61%"
"02/19/2025","3.438","3.371","3.443","3.290","2.41%"
"02/18/2025","3.357","3.342","3.381","3.342","-0.15%"
"02/17/2025","3.362","3.331","3.398","3.295","1.39%"
"02/14/2025","3.316","3.311","3.332","3.293","0.67%"
"02/13/2025","3.294","3.360","3.362","3.290","-1.96%"
"02/12/2025","3.360","3.339","3.361","3.304","0.99%"
"02/11/2025","3.327","3.271","3.327","3.252","2.18%"
"02/10/2025","3.256","3.283","3.283","3.253","-0.34%"
"02/07/2025","3.267","3.267","3.273","3.228","0.86%"
"02/06/2025","3.239","3.265","3.279","3.226","-0.18%"
"02/05/2025","3.245","3.327","3.329","3.230","-1.76%"
"02/04/2025","3.303","3.295","3.326","3.295","0.43%"
"02/03/2025","3.289","3.386","3.388","3.288","-2.08%"
"01/31/2025","3.359","3.439","3.440","3.356","-0.94%"
"01/30/2025","3.391","3.455","3.464","3.391","-1.08%"
"01/29/2025","3.428","3.478","3.483","3.411","-0.06%"
"01/28/2025","3.430","3.458","3.458","3.418","-0.09%"
"01/27/2025","3.433","3.480","3.480","3.407","-1.18%"
"01/24/2025","3.474","3.422","3.477","3.412","4.45%"
"01/23/2025","3.326","3.308","3.331","3.279","1.74%"
"01/22/2025","3.269","3.313","3.313","3.246","-0.58%"
"01/21/2025","3.288","3.347","3.347","3.280","-0.48%"
"01/20/2025","3.304","3.351","3.351","3.303","-0.12%"
"01/17/2025","3.308","3.371","3.374","3.280","-2.27%"
"01/16/2025","3.385","3.404","3.404","3.372","0.50%"
"01/15/2025","3.368","3.526","3.526","3.365","-3.22%"
"01/14/2025","3.480","3.521","3.521","3.458","0.03%"
"01/13/2025","3.479","3.459","3.513","3.434","2.29%"
"01/10/2025","3.401","3.401","3.438","3.376","1.52%"
"01/09/2025","3.350","3.362","3.375","3.326","0.84%"
"01/08/2025","3.322","3.306","3.323","3.249","2.53%"
"01/07/2025","3.240","3.266","3.268","3.230","-0.67%"
"01/06/2025","3.262","3.274","3.283","3.236","0.93%"
"01/03/2025","3.232","3.271","3.271","3.215","0.50%"
"01/02/2025","3.216","3.256","3.256","3.182","-1.02%"
