"Date","Price","Open","High","Low","Change %"
"04/30/2025","2.778","2.837","2.839","2.771","-1.66%"
"04/29/2025","2.825","2.849","2.860","2.830","-1.19%"
"04/28/2025","2.859","2.854","2.882","2.846","1.28%"
"04/25/2025","2.823","2.823","2.852","2.809","1.11%"
"04/24/2025","2.792","2.850","2.851","2.796","-2.16%"
"04/23/2025","2.853","2.838","2.879","2.818","2.18%"
"04/22/2025","2.793","2.841","2.844","2.801","-1.46%"
"04/17/2025","2.834","2.887","2.909","2.818","-1.05%"
"04/16/2025","2.864","2.867","2.901","2.851","-0.90%"
"04/15/2025","2.890","2.874","2.918","2.859","0.80%"
"04/14/2025","2.867","2.931","2.935","2.872","-2.43%"
"04/11/2025","2.938","2.945","2.984","2.863","1.07%"
"04/10/2025","2.908","3.101","3.101","2.915","-2.79%"
"04/09/2025","2.991","3.072","3.095","2.982","-0.48%"
"04/08/2025","3.006","3.041","3.070","2.978","-0.43%"
"04/07/2025","3.019","2.876","3.063","2.840","3.66%"
"04/04/2025","2.912","2.936","2.952","2.850","-2.45%"
"04/03/2025","2.985","2.967","3.012","2.963","-1.78%"
"04/02/2025","3.039","2.993","3.056","2.985","1.47%"
"04/01/2025","2.995","3.003","3.010","2.951","-1.02%"
"03/31/2025","3.026","2.969","3.047","2.955","0.33%"
"03/28/2025","3.016","3.007","3.044","3.003","-1.29%"
"03/27/2025","3.056","3.056","3.087","3.041","-0.11%"
"03/26/2025","3.059","3.086","3.105","3.071","-0.65%"
"03/25/2025","3.079","3.078","3.124","3.075","0.64%"
"03/24/2025","3.059","3.086","3.093","3.054","0.56%"
"03/21/2025","3.043","3.044","3.065","3.030","-0.52%"
"03/20/2025","3.059","3.069","3.083","3.029","-0.76%"
"03/19/2025","3.082","3.054","3.101","3.054","0.03%"
"03/18/2025","3.081","3.111","3.142","3.086","-0.15%"
"03/17/2025","3.086","3.148","3.157","3.077","-1.74%"
"03/14/2025","3.140","3.132","3.212","3.132","1.24%"
"03/13/2025","3.102","3.137","3.176","3.113","-0.89%"
"03/12/2025","3.129","3.164","3.191","3.133","-0.18%"
"03/11/2025","3.135","3.109","3.166","3.108","1.67%"
"03/10/2025","3.083","3.106","3.112","3.043","-0.48%"
"03/07/2025","3.099","3.107","3.120","3.040","0.67%"
"03/06/2025","3.078","3.182","3.186","3.097","1.03%"
"03/05/2025","3.046","2.969","3.079","2.926","9.78%"
"03/04/2025","2.775","2.741","2.788","2.705","0.54%"
"03/03/2025","2.760","2.710","2.800","2.692","3.20%"
"02/28/2025","2.674","2.657","2.691","2.652","-1.09%"
"02/27/2025","2.704","2.717","2.740","2.690","-0.77%"
"02/26/2025","2.725","2.759","2.759","2.713","-1.05%"
"02/25/2025","2.754","2.780","2.790","2.744","-1.47%"
"02/24/2025","2.795","2.778","2.805","2.762","0.58%"
"02/21/2025","2.779","2.828","2.829","2.769","-1.94%"
"02/20/2025","2.834","2.842","2.863","2.832","-0.94%"
"02/19/2025","2.861","2.798","2.862","2.795","2.58%"
"02/18/2025","2.789","2.796","2.799","2.774","0.47%"
"02/17/2025","2.776","2.775","2.790","2.757","1.68%"
"02/14/2025","2.730","2.709","2.732","2.692","0.78%"
"02/13/2025","2.709","2.769","2.769","2.697","-2.34%"
"02/12/2025","2.774","2.740","2.784","2.729","1.43%"
"02/11/2025","2.735","2.684","2.736","2.678","2.51%"
"02/10/2025","2.668","2.648","2.670","2.644","0.87%"
"02/07/2025","2.645","2.646","2.692","2.626","-0.38%"
"02/06/2025","2.655","2.641","2.664","2.625","0.64%"
"02/05/2025","2.638","2.642","2.648","2.610","-0.83%"
"02/04/2025","2.660","2.682","2.698","2.658","0.00%"
"02/03/2025","2.660","2.696","2.703","2.618","-2.60%"
"01/31/2025","2.731","2.779","2.787","2.717","-2.18%"
"01/30/2025","2.792","2.819","2.820","2.761","-1.97%"
"01/29/2025","2.848","2.805","2.853","2.795","0.35%"
"01/28/2025","2.838","2.818","2.838","2.811","0.53%"
"01/27/2025","2.823","2.799","2.825","2.768","-0.95%"
"01/24/2025","2.850","2.827","2.869","2.818","0.35%"
"01/23/2025","2.840","2.806","2.850","2.798","0.57%"
"01/22/2025","2.824","2.790","2.824","2.762","0.79%"
"01/21/2025","2.802","2.785","2.812","2.778","-0.07%"
"01/20/2025","2.804","2.775","2.818","2.775","0.61%"
"01/17/2025","2.787","2.781","2.801","2.767","-0.43%"
"01/16/2025","2.799","2.834","2.851","2.796","-1.13%"
"01/15/2025","2.831","2.885","2.903","2.805","-3.54%"
"01/14/2025","2.935","2.855","2.936","2.852","1.87%"
"01/13/2025","2.881","2.880","2.899","2.861","0.38%"
"01/10/2025","2.870","2.839","2.880","2.831","1.06%"
"01/09/2025","2.840","2.817","2.841","2.792","0.71%"
"01/08/2025","2.820","2.757","2.822","2.751","2.17%"
"01/07/2025","2.760","2.725","2.770","2.721","0.84%"
"01/06/2025","2.737","2.736","2.753","2.716","0.85%"
"01/03/2025","2.714","2.625","2.719","2.625","1.95%"
"01/02/2025","2.662","2.651","2.663","2.580","1.01%"
