"Date","Price","Open","High","Low","Change %"
"04/30/2025","2.681","2.727","2.729","2.680","-1.85%"
"04/29/2025","2.732","2.750","2.757","2.720","-0.51%"
"04/28/2025","2.746","2.730","2.769","2.723","1.63%"
"04/25/2025","2.702","2.712","2.716","2.689","0.88%"
"04/24/2025","2.678","2.733","2.740","2.676","-1.96%"
"04/23/2025","2.732","2.731","2.772","2.704","1.73%"
"04/22/2025","2.685","2.733","2.742","2.688","-1.52%"
"04/17/2025","2.727","2.770","2.804","2.710","-1.20%"
"04/16/2025","2.760","2.742","2.787","2.736","-0.70%"
"04/15/2025","2.780","2.753","2.809","2.740","0.60%"
"04/14/2025","2.763","2.820","2.827","2.760","-1.99%"
"04/11/2025","2.819","2.842","2.887","2.755","-0.18%"
"04/10/2025","2.824","2.941","2.951","2.811","-0.42%"
"04/09/2025","2.836","2.886","2.921","2.809","-1.17%"
"04/08/2025","2.869","2.885","2.924","2.826","0.17%"
"04/07/2025","2.865","2.743","2.951","2.684","2.01%"
"04/04/2025","2.808","2.826","2.838","2.725","-2.28%"
"04/03/2025","2.874","2.869","2.910","2.856","-2.23%"
"04/02/2025","2.939","2.905","2.960","2.885","1.22%"
"04/01/2025","2.904","2.939","2.943","2.881","-1.64%"
"03/31/2025","2.952","2.906","2.970","2.891","0.00%"
"03/28/2025","2.951","2.933","2.982","2.927","-1.21%"
"03/27/2025","2.987","2.984","3.017","2.963","-0.65%"
"03/26/2025","3.007","3.003","3.031","2.988","0.07%"
"03/25/2025","3.005","3.013","3.057","3.005","0.50%"
"03/24/2025","2.990","3.019","3.025","2.983","2.82%"
"03/21/2025","2.908","2.926","2.938","2.895","-0.95%"
"03/20/2025","2.936","2.930","2.951","2.903","-0.31%"
"03/19/2025","2.945","2.925","2.975","2.922","-0.51%"
"03/18/2025","2.960","2.986","3.012","2.964","0.10%"
"03/17/2025","2.957","3.014","3.034","2.951","-2.05%"
"03/14/2025","3.019","2.999","3.096","2.994","0.82%"
"03/13/2025","2.994","3.025","3.063","2.989","-1.11%"
"03/12/2025","3.028","3.070","3.097","3.020","-0.72%"
"03/11/2025","3.050","3.000","3.074","3.000","2.18%"
"03/10/2025","2.985","2.994","3.011","2.927","-0.08%"
"03/07/2025","2.987","2.995","3.007","2.927","-0.86%"
"03/06/2025","3.013","3.065","3.083","2.981","2.47%"
"03/05/2025","2.941","2.844","2.969","2.813","10.23%"
"03/04/2025","2.668","2.649","2.696","2.611","-0.22%"
"03/03/2025","2.674","2.628","2.715","2.606","3.00%"
"02/28/2025","2.596","2.570","2.609","2.567","-0.04%"
"02/27/2025","2.597","2.611","2.648","2.599","-0.84%"
"02/26/2025","2.619","2.651","2.657","2.604","-0.61%"
"02/25/2025","2.635","2.677","2.691","2.633","-1.31%"
"02/24/2025","2.670","2.672","2.707","2.649","0.11%"
"02/21/2025","2.667","2.716","2.723","2.657","-2.09%"
"02/20/2025","2.724","2.743","2.762","2.721","-0.62%"
"02/19/2025","2.741","2.700","2.754","2.697","2.47%"
"02/18/2025","2.675","2.708","2.714","2.674","0.17%"
"02/17/2025","2.671","2.680","2.696","2.663","2.36%"
"02/14/2025","2.609","2.615","2.637","2.596","0.23%"
"02/13/2025","2.603","2.671","2.678","2.598","-2.44%"
"02/12/2025","2.668","2.644","2.690","2.626","1.79%"
"02/11/2025","2.621","2.580","2.638","2.574","2.66%"
"02/10/2025","2.553","2.566","2.585","2.541","-0.16%"
"02/07/2025","2.557","2.569","2.606","2.535","-0.12%"
"02/06/2025","2.560","2.560","2.589","2.535","0.47%"
"02/05/2025","2.548","2.569","2.579","2.534","-1.36%"
"02/04/2025","2.583","2.611","2.634","2.578","-0.15%"
"02/03/2025","2.587","2.623","2.638","2.552","-2.38%"
"01/31/2025","2.650","2.711","2.728","2.647","-2.18%"
"01/30/2025","2.709","2.760","2.761","2.693","-2.31%"
"01/29/2025","2.773","2.737","2.784","2.723","0.62%"
"01/28/2025","2.756","2.747","2.774","2.743","0.97%"
"01/27/2025","2.730","2.726","2.758","2.691","-1.53%"
"01/24/2025","2.772","2.749","2.802","2.736","1.19%"
"01/23/2025","2.740","2.728","2.774","2.719","0.50%"
"01/22/2025","2.726","2.727","2.738","2.692","0.39%"
"01/21/2025","2.716","2.728","2.756","2.705","-0.60%"
"01/20/2025","2.732","2.736","2.773","2.727","-0.47%"
"01/17/2025","2.745","2.743","2.757","2.719","-0.25%"
"01/16/2025","2.752","2.784","2.819","2.755","-0.56%"
"01/15/2025","2.767","2.844","2.866","2.756","-3.45%"
"01/14/2025","2.866","2.810","2.879","2.804","1.54%"
"01/13/2025","2.823","2.832","2.859","2.814","0.91%"
"01/10/2025","2.797","2.791","2.842","2.785","1.25%"
"01/09/2025","2.763","2.769","2.780","2.740","0.53%"
"01/08/2025","2.749","2.706","2.764","2.701","1.91%"
"01/07/2025","2.697","2.670","2.724","2.660","1.12%"
"01/06/2025","2.667","2.678","2.702","2.651","0.51%"
"01/03/2025","2.654","2.590","2.664","2.585","2.23%"
"01/02/2025","2.595","2.596","2.610","2.543","0.00%"
