"Date","Price","Open","High","Low","Change %"
"04/30/2025","2.998","3.046","3.048","3.006","-1.51%"
"04/29/2025","3.044","3.051","3.071","3.037","0.07%"
"04/28/2025","3.042","3.030","3.065","3.027","1.10%"
"04/25/2025","3.009","2.996","3.021","2.984","1.48%"
"04/24/2025","2.965","3.041","3.041","2.973","-2.56%"
"04/23/2025","3.043","3.045","3.066","3.027","0.81%"
"04/22/2025","3.019","3.066","3.066","3.026","-0.81%"
"04/17/2025","3.043","3.105","3.137","3.043","-1.46%"
"04/16/2025","3.088","3.100","3.124","3.077","-1.40%"
"04/15/2025","3.132","3.097","3.144","3.088","1.18%"
"04/14/2025","3.095","3.163","3.168","3.101","-2.24%"
"04/11/2025","3.167","3.215","3.257","3.148","-0.67%"
"04/10/2025","3.188","3.289","3.289","3.183","-1.01%"
"04/09/2025","3.220","3.318","3.333","3.217","-0.26%"
"04/08/2025","3.229","3.238","3.269","3.183","-0.03%"
"04/07/2025","3.230","3.160","3.247","3.106","2.31%"
"04/04/2025","3.157","3.156","3.177","3.117","-0.75%"
"04/03/2025","3.181","3.183","3.208","3.170","-1.68%"
"04/02/2025","3.236","3.207","3.249","3.190","1.17%"
"04/01/2025","3.198","3.244","3.244","3.184","-1.69%"
"03/31/2025","3.253","3.218","3.266","3.200","0.35%"
"03/28/2025","3.241","3.234","3.264","3.226","-1.07%"
"03/27/2025","3.276","3.286","3.300","3.266","-0.58%"
"03/26/2025","3.296","3.306","3.319","3.294","-0.03%"
"03/25/2025","3.296","3.304","3.337","3.299","0.40%"
"03/24/2025","3.283","3.317","3.317","3.281","0.00%"
"03/21/2025","3.283","3.292","3.300","3.278","-0.18%"
"03/20/2025","3.289","3.284","3.308","3.267","-0.21%"
"03/19/2025","3.296","3.289","3.319","3.286","-0.57%"
"03/18/2025","3.315","3.329","3.352","3.319","0.67%"
"03/17/2025","3.293","3.374","3.387","3.303","-2.37%"
"03/14/2025","3.373","3.377","3.434","3.376","0.33%"
"03/13/2025","3.362","3.381","3.409","3.366","-0.30%"
"03/12/2025","3.372","3.419","3.424","3.368","-0.66%"
"03/11/2025","3.395","3.386","3.415","3.374","1.16%"
"03/10/2025","3.355","3.382","3.385","3.323","-0.03%"
"03/07/2025","3.356","3.372","3.381","3.310","-1.00%"
"03/06/2025","3.391","3.421","3.423","3.358","3.07%"
"03/05/2025","3.289","3.166","3.320","3.131","9.34%"
"03/04/2025","3.009","2.978","3.027","2.948","0.42%"
"03/03/2025","2.996","2.964","3.027","2.946","2.69%"
"02/28/2025","2.918","2.924","2.947","2.915","-0.90%"
"02/27/2025","2.944","2.947","2.976","2.942","-0.17%"
"02/26/2025","2.949","2.987","2.987","2.938","-1.04%"
"02/25/2025","2.980","3.015","3.018","2.977","-0.86%"
"02/24/2025","3.006","3.007","3.028","2.986","0.33%"
"02/21/2025","2.996","3.053","3.053","2.995","-2.00%"
"02/20/2025","3.057","3.075","3.083","3.055","-0.39%"
"02/19/2025","3.069","3.023","3.077","3.014","2.37%"
"02/18/2025","2.998","3.022","3.024","2.993","0.40%"
"02/17/2025","2.986","3.003","3.007","2.982","1.08%"
"02/14/2025","2.954","2.942","2.973","2.938","0.41%"
"02/13/2025","2.942","3.003","3.007","2.933","-2.06%"
"02/12/2025","3.004","2.981","3.012","2.964","1.28%"
"02/11/2025","2.966","2.925","2.977","2.916","2.63%"
"02/10/2025","2.890","2.902","2.906","2.881","-0.58%"
"02/07/2025","2.907","2.885","2.927","2.873","0.76%"
"02/06/2025","2.885","2.901","2.924","2.872","0.21%"
"02/05/2025","2.879","2.889","2.897","2.864","-1.13%"
"02/04/2025","2.912","2.937","2.948","2.910","0.34%"
"02/03/2025","2.902","2.954","2.956","2.880","-2.16%"
"01/31/2025","2.966","3.000","3.009","2.954","1.23%"
"01/30/2025","2.930","2.959","2.960","2.899","-1.31%"
"01/29/2025","2.969","2.940","2.969","2.920","0.34%"
"01/28/2025","2.959","2.962","2.976","2.944","0.37%"
"01/27/2025","2.948","2.940","2.972","2.921","-1.24%"
"01/24/2025","2.985","2.960","3.001","2.946","0.84%"
"01/23/2025","2.960","2.943","2.991","2.927","0.82%"
"01/22/2025","2.936","2.938","2.939","2.897","0.24%"
"01/21/2025","2.929","2.944","2.962","2.922","-0.54%"
"01/20/2025","2.945","2.957","2.988","2.935","-0.54%"
"01/17/2025","2.961","2.965","2.966","2.927","-0.97%"
"01/16/2025","2.990","3.002","3.034","2.975","-0.10%"
"01/15/2025","2.993","3.084","3.096","2.966","-3.39%"
"01/14/2025","3.098","3.062","3.105","3.056","0.55%"
"01/13/2025","3.081","3.071","3.103","3.065","1.28%"
"01/10/2025","3.042","3.038","3.062","3.017","1.03%"
"01/09/2025","3.011","3.036","3.040","2.996","0.27%"
"01/08/2025","3.003","2.962","3.013","2.946","1.59%"
"01/07/2025","2.956","2.913","2.960","2.910","1.41%"
"01/06/2025","2.915","2.925","2.940","2.904","-0.10%"
"01/03/2025","2.918","2.835","2.919","2.835","2.53%"
"01/02/2025","2.846","2.853","2.862","2.793","0.26%"
