"Date","Price","Open","High","Low","Change %"
"04/30/2025","3.111","3.154","3.155","3.109","-1.63%"
"04/29/2025","3.162","3.161","3.181","3.150","-0.36%"
"04/28/2025","3.174","3.143","3.181","3.139","1.55%"
"04/25/2025","3.125","3.104","3.136","3.097","1.20%"
"04/24/2025","3.089","3.151","3.152","3.085","-2.36%"
"04/23/2025","3.163","3.156","3.178","3.139","0.89%"
"04/22/2025","3.135","3.178","3.178","3.135","-1.23%"
"04/17/2025","3.174","3.211","3.248","3.157","-1.03%"
"04/16/2025","3.207","3.205","3.231","3.188","-1.03%"
"04/15/2025","3.240","3.203","3.254","3.198","0.82%"
"04/14/2025","3.214","3.268","3.277","3.212","-2.34%"
"04/11/2025","3.291","3.320","3.367","3.257","-0.57%"
"04/10/2025","3.310","3.391","3.394","3.290","-1.15%"
"04/09/2025","3.349","3.418","3.430","3.325","0.03%"
"04/08/2025","3.348","3.327","3.375","3.281","0.15%"
"04/07/2025","3.342","3.261","3.358","3.203","2.41%"
"04/04/2025","3.264","3.260","3.276","3.211","-1.00%"
"04/03/2025","3.297","3.283","3.314","3.273","-1.26%"
"04/02/2025","3.339","3.311","3.351","3.297","0.85%"
"04/01/2025","3.311","3.341","3.341","3.288","-1.56%"
"03/31/2025","3.364","3.319","3.375","3.307","0.04%"
"03/28/2025","3.362","3.341","3.376","3.336","-0.90%"
"03/27/2025","3.392","3.392","3.414","3.376","-0.60%"
"03/26/2025","3.413","3.416","3.431","3.402","-0.07%"
"03/25/2025","3.415","3.415","3.452","3.411","0.41%"
"03/24/2025","3.401","3.426","3.426","3.395","-0.07%"
"03/21/2025","3.404","3.411","3.418","3.392","-0.64%"
"03/20/2025","3.426","3.401","3.430","3.388","0.18%"
"03/19/2025","3.420","3.402","3.438","3.402","-0.42%"
"03/18/2025","3.434","3.449","3.474","3.436","0.19%"
"03/17/2025","3.428","3.490","3.503","3.420","-2.02%"
"03/14/2025","3.499","3.497","3.553","3.496","0.17%"
"03/13/2025","3.493","3.501","3.532","3.486","-0.20%"
"03/12/2025","3.500","3.531","3.544","3.488","-0.71%"
"03/11/2025","3.524","3.493","3.535","3.489","1.19%"
"03/10/2025","3.483","3.500","3.503","3.442","-0.30%"
"03/07/2025","3.493","3.509","3.521","3.438","-0.71%"
"03/06/2025","3.519","3.555","3.566","3.497","2.30%"
"03/05/2025","3.440","3.306","3.461","3.274","8.38%"
"03/04/2025","3.174","3.126","3.175","3.095","0.68%"
"03/03/2025","3.152","3.110","3.176","3.091","2.14%"
"02/28/2025","3.086","3.068","3.093","3.062","-0.05%"
"02/27/2025","3.088","3.090","3.122","3.085","-0.10%"
"02/26/2025","3.091","3.130","3.130","3.082","-1.06%"
"02/25/2025","3.124","3.155","3.161","3.120","-0.90%"
"02/24/2025","3.152","3.143","3.174","3.129","0.38%"
"02/21/2025","3.140","3.190","3.190","3.139","-1.89%"
"02/20/2025","3.201","3.211","3.223","3.198","-0.47%"
"02/19/2025","3.216","3.163","3.222","3.159","2.31%"
"02/18/2025","3.143","3.165","3.168","3.137","-0.02%"
"02/17/2025","3.144","3.164","3.172","3.136","1.42%"
"02/14/2025","3.099","3.081","3.114","3.080","0.75%"
"02/13/2025","3.076","3.140","3.141","3.070","-2.18%"
"02/12/2025","3.145","3.117","3.155","3.106","1.29%"
"02/11/2025","3.105","3.058","3.119","3.053","2.42%"
"02/10/2025","3.032","3.040","3.052","3.023","-0.31%"
"02/07/2025","3.041","3.031","3.076","3.018","0.31%"
"02/06/2025","3.032","3.042","3.071","3.018","0.07%"
"02/05/2025","3.030","3.037","3.043","3.011","-0.96%"
"02/04/2025","3.059","3.082","3.100","3.056","0.05%"
"02/03/2025","3.057","3.100","3.104","3.029","-1.78%"
"01/31/2025","3.113","3.158","3.168","3.106","-0.05%"
"01/30/2025","3.115","3.158","3.158","3.101","-1.97%"
"01/29/2025","3.177","3.138","3.183","3.132","0.24%"
"01/28/2025","3.170","3.166","3.174","3.153","0.56%"
"01/27/2025","3.152","3.148","3.174","3.130","-1.10%"
"01/24/2025","3.187","3.169","3.206","3.156","0.52%"
"01/23/2025","3.171","3.139","3.193","3.137","0.84%"
"01/22/2025","3.144","3.140","3.148","3.111","0.21%"
"01/21/2025","3.138","3.146","3.170","3.132","-0.49%"
"01/20/2025","3.153","3.157","3.197","3.153","-0.52%"
"01/17/2025","3.170","3.163","3.172","3.139","-0.31%"
"01/16/2025","3.180","3.212","3.241","3.179","-0.69%"
"01/15/2025","3.201","3.300","3.310","3.186","-3.67%"
"01/14/2025","3.323","3.276","3.329","3.274","0.67%"
"01/13/2025","3.302","3.298","3.325","3.292","1.24%"
"01/10/2025","3.261","3.248","3.277","3.240","1.32%"
"01/09/2025","3.218","3.219","3.228","3.197","0.66%"
"01/08/2025","3.197","3.147","3.200","3.140","1.81%"
"01/07/2025","3.141","3.108","3.152","3.101","1.11%"
"01/06/2025","3.106","3.121","3.127","3.095","0.00%"
"01/03/2025","3.105","3.045","3.110","3.044","1.62%"
"01/02/2025","3.056","3.062","3.064","3.001","-0.20%"
